ID	logFC	Gene.symbol	Gene.title
217492_s_at	0.47513105	PTENP1///PTEN	phosphatase and tensin homolog pseudogene 1///phosphatase and tensin homolog
216398_at	0.34804119	GYPB	glycophorin B (MNS blood group)
219837_s_at	0.61712998	CYTL1	cytokine like 1
213413_at	0.38482845	STON1	stonin 1
211711_s_at	0.57602398	PTEN	phosphatase and tensin homolog
218205_s_at	0.37684712	MKNK2	MAP kinase interacting serine/threonine kinase 2
210211_s_at	-0.42591988	HSP90AA1	heat shock protein 90 alpha family class A member 1
210226_at	0.30386895	NR4A1	nuclear receptor subfamily 4 group A member 1
204228_at	-0.43706327	PPIH	peptidylprolyl isomerase H
201749_at	-0.43372786	ECE1	endothelin converting enzyme 1
217956_s_at	-0.4985038	ENOPH1	enolase-phosphatase 1
220461_at	0.32910341	PCNX2	pecanex homolog 2 (Drosophila)
AFFX-r2-Bs-thr-5_s_at	0.31206471		
206756_at	0.2994243	CHST7	carbohydrate sulfotransferase 7
205934_at	0.37561025	PLCL1	phospholipase C like 1
215450_at	0.34748354	SNRPE	small nuclear ribonucleoprotein polypeptide E
222331_at	0.32018029		
202826_at	-0.39176241	SPINT1	serine peptidase inhibitor, Kunitz type 1
211987_at	-0.5087668	TOP2B	topoisomerase (DNA) II beta
214704_at	0.33547821	TCF25	transcription factor 25
207648_at	0.45295222	DRP2	dystrophin related protein 2
220016_at	0.32708843	AHNAK	AHNAK nucleoprotein
210166_at	0.24723371	TLR5	toll like receptor 5
210363_s_at	0.31077176	SCN2B	sodium voltage-gated channel beta subunit 2
222369_at	-0.414521	NAA40	N(alpha)-acetyltransferase 40, NatD catalytic subunit
